article_id,publish_date,title,section,author,format_type,topic,word_count,headline_length,paywalled
225,2025-03-17,Climate Breaking Business Tech New Market Election,tech,James Davis,news,tech,1530,50,0
226,2023-10-19,Science Study Government Announces Study Crash Crash,science,John Williams,feature,science,1276,52,0
227,2023-10-24,Study Business Government,culture,Jane Brown,analysis,culture,1751,25,0
228,2025-05-09,New Crash Business Tech Tech Discovery Breaking,culture,Lisa Brown,opinion,culture,1212,47,1
229,2024-08-27,Culture Results Business Reveals World,culture,Lisa Martinez,feature,culture,931,38,0
230,2024-09-28,Politics Election Crash Announces Change Crash Culture World,culture,James Miller,news,culture,1454,60,1
231,2025-11-28,Culture Innovation Politics Politics,business,Michael Johnson,feature,business,1264,36,1
232,2023-06-14,Announces Study Change Politics,culture,David Jones,news,culture,587,31,0
233,2024-09-10,Culture News Study New,politics,Sarah Jones,feature,politics,1035,22,0
234,2025-11-22,Study Discovery World Climate Discovery Change Politics,business,Emma Brown,opinion,business,1698,55,0
235,2023-03-24,Climate Study Reveals Breaking Politics Tech Change Giant,tech,Robert Davis,analysis,tech,484,57,1
236,2025-05-15,Discovery Business World Reveals,culture,John Martinez,opinion,culture,1213,32,0
237,2023-10-04,Results Giant World,business,Sarah Garcia,news,business,852,19,0
238,2025-10-19,Innovation Culture Tech,politics,Robert Davis,analysis,politics,1491,23,1
239,2023-03-17,Business Business Crash Tech World,culture,Lisa Johnson,analysis,culture,1685,34,0
240,2025-11-19,Tech Discovery Election Politics,science,John Williams,feature,science,1679,32,0
241,2025-08-03,Giant Reveals Results Market Business Politics Breaking,business,Michael Davis,analysis,business,220,55,1
242,2024-01-09,New Change Business Breaking Business News New World,science,Jane Davis,news,science,1005,52,0
243,2023-11-19,Election Announces New World,culture,David Garcia,feature,culture,1616,28,0
244,2023-04-25,Reveals Business Results Reveals Politics Change Culture Breaking,tech,Emma Davis,analysis,tech,919,65,1
245,2025-04-29,Government Market Innovation Science Tech Science Climate Science,tech,Emma Rodriguez,news,tech,1270,65,0
246,2024-08-30,Results World Culture Business Results Giant Reveals,culture,Anna Rodriguez,analysis,culture,1043,52,0
247,2024-11-12,New Study Study Government Government,business,Emma Martinez,news,business,920,37,0
248,2025-07-26,New Business Tech Study News Change,tech,David Davis,opinion,tech,217,35,0
249,2024-02-01,Change New New Breaking,world,David Brown,opinion,world,1288,23,0
250,2025-09-15,Business Reveals Tech News Climate Market Crash Market,business,Anna Martinez,news,business,1338,54,1
251,2024-01-27,Climate News Climate New Results Climate,politics,John Davis,news,politics,948,40,0
252,2024-08-15,Business Climate Announces,business,David Williams,analysis,business,1001,26,0
253,2025-01-13,Change New New Government,tech,Lisa Garcia,analysis,tech,253,25,0
254,2023-08-31,New Science Tech Reveals,tech,Jane Brown,feature,tech,718,24,0
255,2023-04-16,Change Science Announces World Business Discovery,science,Michael Martinez,news,science,1966,49,0
256,2023-01-11,Results Discovery Science Crash,science,Lisa Garcia,opinion,science,1161,31,0
257,2024-09-16,Politics Business Climate,world,Michael Brown,opinion,world,236,25,1
258,2024-01-21,Announces Announces Change Business Discovery Culture Announces Election,culture,Robert Garcia,feature,culture,990,72,1
259,2024-02-07,Study Business Culture Business Business Breaking,tech,Robert Davis,opinion,tech,734,49,0
260,2024-04-05,Reveals Change Culture Tech World,business,Sarah Smith,opinion,business,1215,33,0
261,2023-05-21,Announces Science Discovery Giant Breaking Discovery,politics,Anna Martinez,analysis,politics,1256,52,0
262,2023-01-31,Announces Market Study Discovery,science,Lisa Garcia,news,science,938,32,1
263,2023-04-04,Results Government Reveals Discovery Culture Results Discovery,tech,Sarah Miller,news,tech,207,62,0
264,2023-01-16,Science Politics Discovery,politics,Michael Williams,analysis,politics,1343,26,0
265,2023-06-27,Government New Giant Crash Innovation Discovery Giant Reveals,culture,Robert Rodriguez,news,culture,245,61,1
266,2023-06-26,Change Change Breaking Crash Reveals Announces,world,David Johnson,feature,world,876,46,0
267,2024-06-07,Tech Politics Results Breaking Study,business,Jane Jones,opinion,business,1133,36,1
268,2025-07-12,New Announces New Crash Science Politics Tech Reveals,culture,Jane Rodriguez,analysis,culture,998,53,1
269,2023-07-23,Business World Business Science,world,Jane Jones,opinion,world,603,31,0
270,2024-01-08,Tech Announces Study,world,Jane Jones,analysis,world,1310,20,0
271,2024-10-07,News Discovery New Crash Tech World Breaking News,world,Anna Williams,news,world,1413,49,1
272,2024-01-19,Election Innovation New Science Science Breaking,science,Michael Garcia,feature,science,840,48,0
273,2023-11-11,Results Tech Crash Breaking,tech,Jane Rodriguez,opinion,tech,1338,27,0
274,2023-09-16,Giant Election News Giant,world,Jane Jones,news,world,401,25,0
275,2024-05-08,Crash Business Government News Crash Results Announces,tech,Sarah Martinez,opinion,tech,416,54,0
276,2025-12-07,Reveals Breaking New Breaking Government Election Announces Climate,science,David Johnson,feature,science,551,67,0
277,2025-10-12,Politics Crash Election Politics Change Business Crash,tech,James Martinez,feature,tech,499,54,0
278,2023-01-10,Climate Reveals Politics Election Reveals Climate,world,Michael Garcia,news,world,942,49,1
279,2023-06-19,Politics Results Climate Discovery,science,John Jones,opinion,science,1125,34,0
280,2024-02-06,Market Giant News Study Results Science Discovery Breaking,world,John Miller,news,world,200,58,0
281,2023-04-18,Breaking Science Government Discovery Study,politics,Robert Miller,opinion,politics,1301,43,0
282,2023-01-08,Announces Politics News,world,Jane Rodriguez,analysis,world,1407,23,0
283,2024-09-17,Climate Change Market Government Breaking Science Results,politics,Lisa Johnson,opinion,politics,1698,57,1
284,2023-09-18,Market New Change Government Study Government,business,Anna Jones,opinion,business,1282,45,0
285,2024-06-24,Market Innovation Tech Breaking Change Business Election,world,Anna Garcia,news,world,1958,56,1
286,2023-11-22,Business Innovation Giant Study Culture Government,culture,Jane Martinez,feature,culture,684,50,0
287,2023-10-09,News Giant Discovery Government Discovery,culture,David Garcia,news,culture,1644,41,0
288,2023-07-23,Change Breaking Science Reveals Science,tech,Jane Garcia,analysis,tech,1183,39,1
289,2024-11-26,Government Giant World,world,David Garcia,news,world,857,22,0
290,2024-10-28,Science New Election,world,David Jones,feature,world,520,20,0
291,2025-09-16,Market Change Business,politics,Jane Smith,feature,politics,1771,22,0
292,2024-03-27,Reveals New Discovery Discovery Announces News,tech,Lisa Brown,analysis,tech,1435,46,0
293,2025-05-05,Science Business Election Politics Discovery,politics,David Miller,opinion,politics,1063,44,0
294,2024-09-13,Announces Government Results Innovation,business,John Jones,opinion,business,733,39,0
295,2024-10-07,Innovation Government Climate Innovation,politics,John Davis,news,politics,685,40,0
296,2025-11-25,Climate Election Change,tech,Robert Smith,opinion,tech,1618,23,0
297,2025-12-14,Change Innovation Giant,tech,John Miller,opinion,tech,495,23,0
298,2025-06-09,Politics Results Government Study Business Crash,world,John Davis,news,world,1142,48,0
299,2025-10-30,Giant Market Study New Election Change Discovery,culture,Michael Miller,opinion,culture,1644,48,0
300,2024-10-26,Science Study Reveals,business,Michael Martinez,opinion,business,1739,21,0
301,2025-03-03,Science Politics World Election,tech,Robert Martinez,feature,tech,1302,31,1
302,2024-04-07,Study Science Crash Politics Government Study Crash Politics,science,James Brown,opinion,science,968,60,0
303,2023-10-05,Breaking Climate Study Science Results,politics,Michael Brown,feature,politics,974,38,0
